day,H,D,R,T,Iso,L,M,S
0,4995,5,0,0,0,0,0,0
1,4993,7,0,0,0,5,2,0
2,4993,7,0,0,0,5,2,0
3,4992,8,0,0,0,6,2,0
4,4992,8,0,0,0,6,2,0
5,4990,10,0,0,5,8,2,0
6,4990,10,0,0,7,8,2,0
7,4990,10,0,0,7,8,2,0
8,4989,11,0,0,8,9,2,0
9,4989,11,0,0,8,9,2,0
10,4989,10,1,0,9,8,2,0
11,4989,9,2,0,8,7,2,0
12,4989,8,3,0,7,6,2,0
13,4988,9,3,0,8,7,2,0
14,4988,7,5,0,6,5,2,0
15,4988,7,5,0,6,5,2,0
16,4988,5,7,0,4,5,0,0
17,4988,5,7,0,4,5,0,0
18,4988,2,10,0,2,2,0,0
19,4987,2,11,0,1,1,1,0
20,4987,2,11,0,1,1,1,0
21,4987,2,11,0,1,1,1,0
22,4987,2,11,0,1,1,1,0
23,4987,2,11,0,1,1,1,0
24,4986,3,11,0,2,2,1,0
25,4986,3,11,0,2,2,1,0
26,4986,3,11,0,2,2,1,0
27,4986,2,12,0,1,1,1,0
28,4986,2,12,0,1,1,1,0
29,4986,2,12,0,2,1,1,0
30,4986,2,12,0,2,1,1,0
31,4986,2,12,0,2,1,1,0
32,4986,2,12,0,2,1,1,0
33,4986,1,13,0,1,1,0,0
34,4986,1,13,0,1,1,0,0
35,4986,1,13,0,1,1,0,0
36,4986,0,14,0,0,0,0,0
37,4986,0,14,0,0,0,0,0
38,4986,0,14,0,0,0,0,0
39,4986,0,14,0,0,0,0,0
40,4986,0,14,0,0,0,0,0
41,4986,0,14,0,0,0,0,0
42,4986,0,14,0,0,0,0,0
43,4986,0,14,0,0,0,0,0
44,4986,0,14,0,0,0,0,0
45,4986,0,14,0,0,0,0,0
46,4986,0,14,0,0,0,0,0
47,4986,0,14,0,0,0,0,0
48,4986,0,14,0,0,0,0,0
49,4986,0,14,0,0,0,0,0
50,4986,0,14,0,0,0,0,0
51,4986,0,14,0,0,0,0,0
52,4986,0,14,0,0,0,0,0
53,4986,0,14,0,0,0,0,0
54,4986,0,14,0,0,0,0,0
55,4986,0,14,0,0,0,0,0
56,4986,0,14,0,0,0,0,0
57,4986,0,14,0,0,0,0,0
58,4986,0,14,0,0,0,0,0
59,4986,0,14,0,0,0,0,0
60,4986,0,14,0,0,0,0,0
61,4986,0,14,0,0,0,0,0
62,4986,0,14,0,0,0,0,0
63,4986,0,14,0,0,0,0,0
64,4986,0,14,0,0,0,0,0
65,4986,0,14,0,0,0,0,0
66,4986,0,14,0,0,0,0,0
67,4986,0,14,0,0,0,0,0
68,4986,0,14,0,0,0,0,0
69,4986,0,14,0,0,0,0,0
70,4986,0,14,0,0,0,0,0
71,4986,0,14,0,0,0,0,0
72,4986,0,14,0,0,0,0,0
73,4986,0,14,0,0,0,0,0
74,4986,0,14,0,0,0,0,0
75,4986,0,14,0,0,0,0,0
76,4986,0,14,0,0,0,0,0
77,4986,0,14,0,0,0,0,0
78,4986,0,14,0,0,0,0,0
79,4986,0,14,0,0,0,0,0
80,4986,0,14,0,0,0,0,0
81,4986,0,14,0,0,0,0,0
82,4986,0,14,0,0,0,0,0
83,4986,0,14,0,0,0,0,0
84,4986,0,14,0,0,0,0,0
85,4986,0,14,0,0,0,0,0
86,4986,0,14,0,0,0,0,0
87,4986,0,14,0,0,0,0,0
88,4986,0,14,0,0,0,0,0
89,4986,0,14,0,0,0,0,0
90,4986,0,14,0,0,0,0,0
91,4986,0,14,0,0,0,0,0
92,4986,0,14,0,0,0,0,0
93,4986,0,14,0,0,0,0,0
94,4986,0,14,0,0,0,0,0
95,4986,0,14,0,0,0,0,0
96,4986,0,14,0,0,0,0,0
97,4986,0,14,0,0,0,0,0
98,4986,0,14,0,0,0,0,0
99,4986,0,14,0,0,0,0,0
100,4986,0,14,0,0,0,0,0
101,4986,0,14,0,0,0,0,0
102,4986,0,14,0,0,0,0,0
103,4986,0,14,0,0,0,0,0
104,4986,0,14,0,0,0,0,0
105,4986,0,14,0,0,0,0,0
106,4986,0,14,0,0,0,0,0
107,4986,0,14,0,0,0,0,0
108,4986,0,14,0,0,0,0,0
109,4986,0,14,0,0,0,0,0
110,4986,0,14,0,0,0,0,0
