day,H,D,R,T,Iso,L,M,S
0,4995,5,0,0,0,0,0,0
1,4994,6,0,0,0,5,1,0
2,4994,6,0,0,0,5,1,0
3,4994,6,0,0,0,5,1,0
4,4994,6,0,0,0,5,1,0
5,4994,6,0,0,5,5,1,0
6,4994,6,0,0,6,5,1,0
7,4994,6,0,0,6,5,1,0
8,4993,7,0,0,6,5,1,1
9,4993,7,0,0,6,5,1,1
10,4993,7,0,0,6,5,1,1
11,4993,5,2,0,4,3,1,1
12,4993,5,2,0,4,3,1,1
13,4993,2,5,0,2,1,0,1
14,4993,1,6,0,1,0,0,1
15,4993,1,6,0,1,0,0,1
16,4993,1,6,0,1,0,0,1
17,4993,1,6,0,1,0,0,1
18,4992,2,6,0,1,1,0,1
19,4992,1,7,0,0,1,0,0
20,4992,1,7,0,0,1,0,0
21,4991,2,7,0,0,2,0,0
22,4991,2,7,0,0,2,0,0
23,4991,2,7,0,1,2,0,0
24,4991,2,7,0,1,2,0,0
25,4991,2,7,0,1,2,0,0
26,4991,2,7,0,2,2,0,0
27,4991,2,7,0,2,2,0,0
28,4991,1,8,0,1,1,0,0
29,4991,1,8,0,1,1,0,0
30,4990,2,8,0,1,2,0,0
31,4990,2,8,0,1,2,0,0
32,4990,2,8,0,1,2,0,0
33,4990,2,8,0,1,2,0,0
34,4990,1,9,0,0,1,0,0
35,4990,1,9,0,1,1,0,0
36,4990,1,9,0,1,1,0,0
37,4990,1,9,0,1,1,0,0
38,4990,1,9,0,1,1,0,0
39,4990,1,9,0,1,1,0,0
40,4990,1,9,0,1,1,0,0
41,4990,1,9,0,1,1,0,0
42,4990,1,9,0,1,1,0,0
43,4990,0,10,0,0,0,0,0
44,4990,0,10,0,0,0,0,0
45,4990,0,10,0,0,0,0,0
46,4990,0,10,0,0,0,0,0
47,4990,0,10,0,0,0,0,0
48,4990,0,10,0,0,0,0,0
49,4990,0,10,0,0,0,0,0
50,4990,0,10,0,0,0,0,0
51,4990,0,10,0,0,0,0,0
52,4990,0,10,0,0,0,0,0
53,4990,0,10,0,0,0,0,0
54,4990,0,10,0,0,0,0,0
55,4990,0,10,0,0,0,0,0
56,4990,0,10,0,0,0,0,0
57,4990,0,10,0,0,0,0,0
58,4990,0,10,0,0,0,0,0
59,4990,0,10,0,0,0,0,0
60,4990,0,10,0,0,0,0,0
61,4990,0,10,0,0,0,0,0
62,4990,0,10,0,0,0,0,0
63,4990,0,10,0,0,0,0,0
64,4990,0,10,0,0,0,0,0
65,4990,0,10,0,0,0,0,0
66,4990,0,10,0,0,0,0,0
67,4990,0,10,0,0,0,0,0
68,4990,0,10,0,0,0,0,0
69,4990,0,10,0,0,0,0,0
70,4990,0,10,0,0,0,0,0
71,4990,0,10,0,0,0,0,0
72,4990,0,10,0,0,0,0,0
73,4990,0,10,0,0,0,0,0
74,4990,0,10,0,0,0,0,0
75,4990,0,10,0,0,0,0,0
76,4990,0,10,0,0,0,0,0
77,4990,0,10,0,0,0,0,0
78,4990,0,10,0,0,0,0,0
79,4990,0,10,0,0,0,0,0
80,4990,0,10,0,0,0,0,0
81,4990,0,10,0,0,0,0,0
82,4990,0,10,0,0,0,0,0
83,4990,0,10,0,0,0,0,0
84,4990,0,10,0,0,0,0,0
85,4990,0,10,0,0,0,0,0
86,4990,0,10,0,0,0,0,0
87,4990,0,10,0,0,0,0,0
88,4990,0,10,0,0,0,0,0
89,4990,0,10,0,0,0,0,0
90,4990,0,10,0,0,0,0,0
91,4990,0,10,0,0,0,0,0
92,4990,0,10,0,0,0,0,0
93,4990,0,10,0,0,0,0,0
94,4990,0,10,0,0,0,0,0
95,4990,0,10,0,0,0,0,0
96,4990,0,10,0,0,0,0,0
97,4990,0,10,0,0,0,0,0
98,4990,0,10,0,0,0,0,0
99,4990,0,10,0,0,0,0,0
100,4990,0,10,0,0,0,0,0
101,4990,0,10,0,0,0,0,0
102,4990,0,10,0,0,0,0,0
103,4990,0,10,0,0,0,0,0
104,4990,0,10,0,0,0,0,0
105,4990,0,10,0,0,0,0,0
106,4990,0,10,0,0,0,0,0
107,4990,0,10,0,0,0,0,0
108,4990,0,10,0,0,0,0,0
109,4990,0,10,0,0,0,0,0
110,4990,0,10,0,0,0,0,0
